config,physical_machines,services,generations,alpha,beta,latency,energy,placement_physical,placement_vm,is_perfect
config-1,4,8,200,0.5,0.5,14506.232895469311,6051.468896213422,"[0, 0, 2, 0, 0, 1, 0, 0]","[1, 1, 0, 0, 0, 0, 1, 1]","[False, True, True, True, True, True, True, False]"
config-2,4,7,200,0.5,0.5,15983.121529993507,2467.408501279413,"[3, 0, 1, 0, 0, 1, 2]","[0, 0, 0, 0, 0, 0, 0]","[False, True, True, True, True, True, True]"
config-3,3,5,200,0.5,0.5,10539.09536435982,2914.8783432060777,"[1, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[True, True, True, True, True]"
config-4,4,7,200,0.5,0.5,19468.96530564196,3882.6107459093164,"[2, 2, 2, 0, 0, 1, 1]","[0, 0, 1, 1, 1, 1, 0]","[True, False, False, False, True, False, True]"
config-5,4,8,200,0.5,0.5,23790.20660334848,4412.902257855703,"[0, 2, 2, 2, 2, 0, 2, 0]","[0, 0, 0, 0, 1, 0, 0, 0]","[True, False, False, False, False, True, True, False]"
config-6,4,6,200,0.5,0.5,10240.539369614706,2213.8446136599655,"[1, 1, 0, 1, 1, 1]","[0, 0, 0, 0, 0, 0]","[True, True, True, True, True, True]"
config-7,3,7,200,0.5,0.5,28292.870447843372,11720.252547085449,"[1, 1, 1, 0, 0, 1, 1]","[0, 0, 0, 0, 0, 0, 0]","[False, True, False, False, False, True, False]"
config-8,3,7,200,0.5,0.5,18717.306911629323,3988.055014417612,"[1, 1, 0, 0, 1, 0, 0]","[0, 1, 0, 0, 0, 0, 0]","[True, False, True, True, False, True, False]"
config-9,3,6,200,0.5,0.5,15088.99075003181,3283.2095112677234,"[1, 0, 0, 1, 1, 0]","[0, 0, 0, 0, 0, 0]","[False, True, True, False, True, True]"
config-10,4,5,200,0.5,0.5,8455.06829690677,2452.6574536606017,"[0, 0, 0, 0, 1]","[0, 0, 0, 0, 0]","[False, True, True, True, True]"
config-11,3,8,200,0.5,0.5,14202.913310239734,4558.7511782259,"[0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0]","[True, True, False, False, True, False, True, True]"
config-12,4,5,200,0.5,0.5,9247.065310332113,1922.266606810872,"[1, 1, 0, 0, 1]","[1, 0, 0, 0, 0]","[False, True, True, True, True]"
config-13,3,5,200,0.5,0.5,7613.165043075142,2118.5793250800816,"[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[True, False, True, False, True]"
config-14,3,6,200,0.5,0.5,17060.3871374725,7179.319856493707,"[1, 1, 1, 1, 1, 0]","[0, 0, 0, 0, 0, 0]","[True, True, True, True, False, True]"
config-15,3,5,200,0.5,0.5,17951.77538061038,3967.0210974575984,"[1, 1, 1, 0, 1]","[0, 0, 0, 0, 0]","[False, False, False, True, False]"
config-16,3,6,200,0.5,0.5,15604.794245477959,3655.2622131463677,"[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[True, False, False, True, True, False]"
config-17,3,8,200,0.5,0.5,12500.583259275492,4983.755473269222,"[0, 0, 1, 0, 0, 0, 0, 1]","[0, 0, 0, 0, 0, 0, 0, 0]","[True, True, True, True, True, True, True, True]"
config-18,3,5,200,0.5,0.5,8746.190926784808,1344.812710361106,"[1, 1, 0, 0, 0]","[0, 0, 0, 0, 1]","[True, True, True, True, False]"
config-19,3,5,200,0.5,0.5,7739.491870873047,3619.9628496746645,"[0, 0, 0, 0, 0]","[0, 1, 0, 0, 0]","[True, False, True, True, True]"
config-20,3,5,200,0.5,0.5,11761.834653877399,3757.0697470900086,"[1, 1, 0, 0, 0]","[0, 0, 0, 0, 0]","[True, True, True, True, False]"
config-21,3,7,200,0.5,0.5,28778.551070488073,5157.242377645561,"[1, 0, 1, 1, 0, 0, 1]","[1, 0, 1, 1, 0, 0, 1]","[False, True, False, False, False, False, True]"
config-22,4,8,200,0.5,0.5,11178.785699326014,3752.930659987182,"[1, 1, 1, 1, 1, 0, 0, 0]","[0, 0, 0, 0, 0, 1, 0, 0]","[True, True, True, True, True, False, True, True]"
config-23,3,8,200,0.5,0.5,9364.474326443757,3413.76500859631,"[0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0]","[True, True, True, True, True, True, True, True]"
config-24,4,8,200,0.5,0.5,10876.951417805893,2961.0279399325036,"[0, 2, 2, 0, 0, 1, 1, 1]","[0, 0, 0, 0, 0, 0, 0, 0]","[True, False, True, True, True, True, True, True]"
config-25,3,5,200,0.5,0.5,6909.793156405372,3908.3127332845934,"[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[True, False, True, True, True]"
config-26,4,7,200,0.5,0.5,13258.509555333718,3672.9315733233707,"[1, 1, 1, 1, 1, 0, 1]","[1, 1, 0, 0, 1, 1, 1]","[True, True, True, True, True, True, False]"
config-27,3,7,200,0.5,0.5,19344.17256406966,3591.8762000156103,"[1, 0, 1, 1, 1, 1, 0]","[0, 0, 0, 0, 0, 0, 1]","[False, True, True, True, True, True, False]"
config-28,4,7,200,0.5,0.5,14326.529654458762,3104.6071670999613,"[1, 1, 1, 0, 0, 2, 1]","[0, 0, 0, 0, 0, 1, 0]","[True, True, True, True, True, False, True]"
config-29,4,7,200,0.5,0.5,10555.305527207442,2106.892603976053,"[1, 0, 0, 0, 0, 0, 0]","[0, 1, 0, 1, 1, 0, 0]","[True, True, True, True, False, True, True]"
config-30,4,5,200,0.5,0.5,11141.364025054698,2211.164899900087,"[0, 1, 1, 0, 1]","[1, 1, 1, 1, 1]","[False, False, False, False, True]"
config-31,4,5,200,0.5,0.5,11083.33042989475,3898.016785257184,"[0, 0, 0, 0, 1]","[1, 1, 1, 1, 0]","[True, False, False, True, True]"
config-32,3,5,200,0.5,0.5,9568.640436809055,4287.273086444331,"[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[False, True, True, True, True]"
config-33,4,7,200,0.5,0.5,13720.1201329656,3209.0536417779595,"[1, 1, 1, 0, 0, 0, 1]","[1, 0, 1, 0, 0, 0, 0]","[True, True, True, True, True, True, True]"
config-34,4,6,200,0.5,0.5,11789.666754808079,4303.321319047027,"[1, 1, 1, 1, 1, 1]","[0, 0, 0, 0, 0, 0]","[True, True, False, True, True, True]"
config-35,4,7,200,0.5,0.5,20271.081073721914,5493.444160474736,"[2, 2, 1, 0, 0, 0, 1]","[1, 1, 0, 0, 0, 0, 0]","[False, True, True, True, True, True, False]"
config-36,4,7,200,0.5,0.5,14535.087481466213,3453.6188535260562,"[1, 1, 0, 2, 1, 2, 1]","[0, 0, 0, 1, 0, 1, 0]","[True, False, True, True, True, False, True]"
config-37,4,5,200,0.5,0.5,11588.969163183916,4267.077183230629,"[0, 0, 0, 0, 0]","[1, 1, 1, 1, 1]","[True, True, True, False, True]"
config-38,4,7,200,0.5,0.5,15934.506460692679,4326.097625144381,"[2, 1, 0, 1, 1, 0, 1]","[0, 0, 0, 0, 0, 0, 1]","[False, True, True, True, True, True, False]"
config-39,3,7,200,0.5,0.5,12877.628822614326,3564.623464417931,"[0, 0, 0, 0, 1, 0, 1]","[0, 0, 1, 0, 1, 1, 0]","[True, True, False, True, False, False, True]"
config-40,3,5,200,0.5,0.5,16815.115400059236,4545.77292596998,"[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[False, True, False, True, True]"
config-41,3,6,200,0.5,0.5,6890.277257174086,3963.4606605491786,"[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[True, False, True, True, True, True]"
config-42,4,6,200,0.5,0.5,13904.03718053882,5640.773443379723,"[0, 0, 0, 0, 2, 1]","[0, 0, 0, 0, 0, 0]","[False, False, True, True, True, True]"
config-43,4,7,200,0.5,0.5,16715.200727035026,2973.8261325159756,"[3, 0, 3, 0, 0, 1, 1]","[0, 0, 0, 0, 0, 1, 1]","[False, True, False, True, True, True, True]"
config-44,4,6,200,0.5,0.5,10612.5921154827,3229.5287055443287,"[1, 1, 1, 0, 1, 0]","[0, 0, 0, 0, 0, 0]","[True, True, False, True, True, True]"
config-45,3,5,200,0.5,0.5,16475.285784729716,3275.856108890861,"[0, 0, 0, 1, 1]","[0, 0, 0, 1, 1]","[False, False, True, False, False]"
config-46,3,8,200,0.5,0.5,17605.839321290772,4820.402588617635,"[0, 0, 1, 0, 0, 0, 1, 0]","[0, 0, 1, 1, 0, 1, 0, 1]","[True, True, True, False, True, False, True, False]"
config-47,3,6,200,0.5,0.5,5319.09102810159,2740.871043278914,"[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[True, True, False, True, True, True]"
config-48,3,6,200,0.5,0.5,14759.103320075637,4886.2804882765,"[0, 1, 0, 1, 0, 0]","[0, 0, 0, 0, 0, 0]","[True, False, True, False, True, True]"
config-49,4,6,200,0.5,0.5,11962.666463287005,3034.496265094984,"[1, 0, 1, 1, 1, 0]","[0, 0, 1, 0, 1, 0]","[True, True, False, True, False, True]"
config-50,4,5,200,0.5,0.5,6917.094515301243,2472.510478712984,"[0, 0, 1, 1, 1]","[0, 1, 0, 0, 0]","[True, False, True, True, True]"
config-51,3,8,200,0.5,0.5,15374.20923207609,5532.744275437482,"[0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0]","[True, True, False, True, True, True, True, True]"
config-52,3,5,200,0.5,0.5,11143.799748604204,3148.4308464100545,"[0, 0, 0, 0, 1]","[0, 0, 1, 0, 0]","[True, True, False, True, True]"
config-53,3,8,200,0.5,0.5,22551.245978633495,6840.852659365375,"[1, 0, 0, 1, 1, 1, 0, 1]","[0, 0, 0, 0, 0, 0, 0, 0]","[True, True, True, False, True, False, True, False]"
config-54,3,8,200,0.5,0.5,15670.599205764101,4663.8899797471895,"[0, 0, 0, 1, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0]","[True, False, True, False, True, True, True, True]"
config-55,4,6,200,0.5,0.5,11852.881621599001,2685.8927588654697,"[1, 1, 1, 1, 1, 2]","[0, 0, 0, 0, 0, 0]","[True, False, True, False, True, True]"
config-56,4,6,200,0.5,0.5,8297.68254220917,3264.7953828632444,"[1, 1, 1, 1, 1, 1]","[0, 0, 0, 0, 0, 0]","[True, True, True, False, False, True]"
config-57,4,7,200,0.5,0.5,12807.776834818551,6111.979134377232,"[1, 0, 1, 0, 0, 0, 0]","[1, 0, 1, 0, 0, 0, 0]","[True, True, False, True, True, False, True]"
config-58,3,7,200,0.5,0.5,18123.789872199,6053.675424899531,"[0, 0, 1, 0, 1, 0, 0]","[0, 0, 0, 0, 1, 0, 0]","[True, True, True, True, False, True, False]"
config-59,4,8,200,0.5,0.5,15510.69638117791,6707.536198937564,"[2, 2, 1, 1, 2, 1, 1, 1]","[0, 0, 0, 0, 0, 0, 0, 0]","[True, True, True, True, False, True, True, False]"
config-60,3,8,200,0.5,0.5,19493.60952298676,6467.234390153912,"[0, 1, 0, 1, 1, 1, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0]","[True, False, True, True, True, False, True, True]"
config-61,3,8,200,0.5,0.5,25739.518595858204,3163.237581421947,"[1, 1, 1, 1, 1, 1, 1, 0]","[1, 0, 1, 1, 0, 0, 0, 0]","[False, True, False, False, True, True, True, True]"
config-62,4,8,200,0.5,0.5,10824.729330621012,3260.056276606083,"[1, 1, 1, 1, 1, 1, 1, 0]","[0, 0, 0, 0, 0, 1, 0, 0]","[True, True, True, True, True, False, True, True]"
config-63,4,7,200,0.5,0.5,13422.946068607285,3226.91931245963,"[2, 1, 2, 1, 0, 1, 1]","[0, 1, 0, 1, 0, 1, 1]","[True, True, True, True, True, True, True]"
config-64,4,5,200,0.5,0.5,7031.768166653095,1260.7484530485162,"[0, 1, 1, 0, 1]","[1, 0, 0, 1, 0]","[True, True, True, True, True]"
config-65,4,8,200,0.5,0.5,11883.149646569509,3463.178782960175,"[1, 1, 1, 0, 0, 1, 1, 0]","[0, 0, 0, 0, 0, 0, 0, 0]","[True, True, True, True, True, False, True, True]"
config-66,3,5,200,0.5,0.5,12509.089466171587,1963.8981741232456,"[0, 0, 0, 1, 0]","[0, 0, 0, 0, 0]","[True, True, True, True, True]"
config-67,4,5,200,0.5,0.5,14844.679337043417,2603.0480955704247,"[2, 2, 2, 1, 2]","[0, 0, 0, 0, 0]","[False, True, True, True, True]"
config-68,3,7,200,0.5,0.5,10036.337498535298,4984.368389192392,"[0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0]","[True, True, True, True, False, True, True]"
config-69,3,6,200,0.5,0.5,17596.30553022228,4059.2745661347026,"[1, 0, 0, 0, 0, 0]","[0, 1, 1, 1, 1, 0]","[False, False, False, False, True, True]"
config-70,4,5,200,0.5,0.5,9418.151548235213,2557.336059158304,"[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[True, True, False, True, True]"
config-71,4,5,200,0.5,0.5,17019.52554208394,2463.4084769154,"[1, 0, 1, 2, 3]","[0, 0, 0, 0, 0]","[True, True, True, False, False]"
config-72,3,8,200,0.5,0.5,31281.03428197335,8633.18993516892,"[0, 0, 1, 0, 1, 2, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0]","[False, True, False, False, False, False, False, True]"
config-73,3,8,200,0.5,0.5,16234.574382448036,6276.547488820297,"[0, 0, 1, 0, 1, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0]","[True, True, False, True, False, True, True, False]"
config-74,3,5,200,0.5,0.5,12947.966561376257,2691.8084293524626,"[1, 0, 1, 1, 0]","[0, 0, 0, 1, 0]","[False, True, False, False, True]"
config-75,4,7,200,0.5,0.5,12966.88077210914,3076.7819863145733,"[1, 0, 1, 1, 0, 0, 0]","[1, 0, 1, 1, 1, 1, 0]","[True, True, True, True, True, True, True]"
config-76,4,7,200,0.5,0.5,12827.258176302596,3708.969021302745,"[0, 0, 1, 0, 2, 0, 1]","[0, 1, 0, 0, 0, 0, 0]","[False, False, True, True, True, True, True]"
config-77,3,7,200,0.5,0.5,10795.388016058221,5635.371467204835,"[0, 0, 0, 0, 0, 0, 0]","[1, 1, 1, 1, 1, 1, 1]","[True, True, True, True, True, True, True]"
config-78,4,7,200,0.5,0.5,10911.825383097563,4709.093737821648,"[0, 1, 1, 0, 0, 1, 1]","[0, 1, 1, 0, 0, 1, 1]","[True, False, False, True, True, True, True]"
config-79,4,7,200,0.5,0.5,9064.99181221918,3252.4210907432794,"[0, 1, 0, 0, 0, 0, 0]","[0, 1, 0, 0, 0, 0, 0]","[True, False, True, True, True, True, True]"
config-80,3,8,200,0.5,0.5,19846.842900662006,6409.530755659755,"[0, 0, 1, 0, 0, 1, 1, 1]","[0, 0, 0, 0, 0, 0, 0, 0]","[True, False, True, True, False, True, False, True]"
config-81,4,7,200,0.5,0.5,14805.086027424486,3155.1174090901723,"[0, 0, 0, 0, 0, 1, 0]","[0, 0, 1, 0, 0, 0, 1]","[True, True, False, True, True, True, False]"
config-82,4,5,200,0.5,0.5,6962.933311355688,1803.2085711858863,"[1, 0, 0, 0, 1]","[0, 1, 1, 1, 0]","[True, True, True, True, True]"
config-83,3,8,200,0.5,0.5,11799.05407723778,6531.646331845315,"[0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0]","[True, True, True, False, True, True, True, False]"
config-84,3,6,200,0.5,0.5,23145.66009444453,3737.714333920381,"[0, 1, 1, 0, 1, 1]","[0, 0, 0, 0, 0, 0]","[False, False, False, True, False, False]"
config-85,4,8,200,0.5,0.5,24518.695862492707,5405.813591667499,"[2, 0, 0, 0, 2, 2, 0, 1]","[1, 1, 0, 1, 1, 1, 1, 0]","[False, True, True, False, False, False, True, False]"
config-86,4,6,200,0.5,0.5,7121.469810378079,1853.3745817532429,"[0, 0, 0, 0, 1, 1]","[0, 0, 0, 0, 0, 0]","[True, True, True, True, True, True]"
config-87,4,8,200,0.5,0.5,14352.266343564745,4522.753889453917,"[1, 0, 1, 1, 1, 0, 1, 0]","[0, 0, 0, 0, 0, 0, 0, 0]","[True, True, True, True, True, True, True, False]"
config-88,4,7,200,0.5,0.5,10666.82475004383,2263.2644679586883,"[0, 0, 1, 1, 1, 1, 0]","[0, 1, 0, 0, 0, 0, 0]","[True, False, True, True, True, True, True]"
config-89,3,6,200,0.5,0.5,15211.346551647453,4361.752924522969,"[1, 0, 0, 0, 1, 0]","[0, 0, 0, 0, 0, 0]","[False, True, True, False, False, False]"
config-90,4,8,200,0.5,0.5,18158.739436378844,5321.40952073699,"[1, 1, 1, 0, 1, 0, 0, 0]","[1, 1, 1, 0, 1, 1, 0, 0]","[True, False, True, True, True, True, True, True]"
config-91,4,7,200,0.5,0.5,13138.201555714419,3689.215124588969,"[1, 1, 0, 1, 0, 1, 1]","[0, 0, 0, 0, 0, 0, 0]","[True, False, True, True, False, True, True]"
config-92,3,8,200,0.5,0.5,20855.381064203782,6134.781492124947,"[0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0]","[True, True, True, True, True, True, False, True]"
config-93,3,8,200,0.5,0.5,15550.484587682377,8292.170882339533,"[0, 0, 0, 0, 0, 0, 0, 1]","[0, 0, 0, 0, 0, 1, 0, 0]","[True, True, True, True, True, False, True, True]"
config-94,3,6,200,0.5,0.5,10977.688963255654,3552.5413471322795,"[2, 0, 0, 0, 0, 0]","[1, 0, 0, 0, 0, 0]","[False, True, True, True, True, True]"
config-95,3,8,200,0.5,0.5,22420.323984062372,6280.962868219623,"[1, 2, 1, 1, 1, 1, 0, 0]","[0, 1, 0, 0, 0, 0, 0, 0]","[False, False, False, True, True, True, True, False]"
config-96,3,6,200,0.5,0.5,5739.102970467944,3956.563499333685,"[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[True, True, True, True, True, True]"
config-97,3,8,200,0.5,0.5,9407.7691854838,4479.226045551901,"[0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0]","[True, True, True, True, True, True, True, True]"
config-98,3,5,200,0.5,0.5,12034.834181996224,2606.547070890992,"[0, 1, 0, 1, 0]","[0, 1, 0, 1, 0]","[True, False, True, False, True]"
config-99,4,7,200,0.5,0.5,21425.79394969938,4338.920773474296,"[1, 2, 1, 1, 0, 1, 1]","[1, 0, 1, 0, 0, 1, 1]","[True, True, True, True, True, False, False]"
config-100,4,7,200,0.5,0.5,15461.088270372167,2770.7408473488604,"[2, 1, 1, 2, 1, 2, 2]","[1, 0, 1, 0, 1, 1, 0]","[False, True, True, True, True, False, True]"
